year,week,State,District,Market,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Predicted
2024,0,Andhra Pradesh,Kurnool,Kurnool,Onion,Local,FAQ,373.0,2135.0,1653.3333333333333,1840
2024,0,Bihar,Banka,Barahat,Onion,Medium,FAQ,2600.0,3200.0,2940.0,3130
2024,0,Bihar,Bhojpur,Piro,Onion,Medium,FAQ,2700.0,2790.0,2750.0,2946
2024,0,Bihar,Buxar,Brahmpur,Onion,Medium,FAQ,3000.0,4000.0,3500.0,3655
2024,0,Bihar,Darbhanga,Bahadurpur (Ekmi Ghat),Onion,Medium,FAQ,2600.0,2800.0,2700.0,2854
2024,0,Bihar,Jamui,Jamui,Onion,Medium,FAQ,2500.0,2600.0,2600.0,2805
2024,0,Bihar,Jehanabad,Jehanabad,Onion,White,FAQ,2500.0,3000.0,2500.0,2655
2024,0,Bihar,Kaithar,"Gerabari, Korha Block",Onion,Medium,FAQ,4133.333333333333,4333.333333333333,4233.333333333333,4393
2024,0,Bihar,Khagaria,Mansi Mandi,Onion,Medium,FAQ,2200.0,2200.0,2200.0,2400
2024,0,Bihar,Kishanganj,Bahadurganj,Onion,Medium,FAQ,3400.0,3680.0,3540.0,3705
2024,0,Bihar,Madhepura,Murliganj,Onion,White,FAQ,2766.6666666666665,3266.6666666666665,3000.0,3134
2024,0,Bihar,Madhubani,Jahajharpur,Onion,Medium,FAQ,2200.0,2400.0,2300.0,2509
2024,0,Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,4025.0,4250.0,4125.0,4352
2024,0,Bihar,Muzaffarpur,Bhagwanpur Mandi,Onion,Medium,FAQ,4000.0,4200.0,4100.0,4242
2024,0,Bihar,Patna,Danapur,Onion,Medium,FAQ,2580.0,2980.0,2780.0,3012
2024,0,Bihar,Patna,Patna (Musallahpur),Onion,Medium,FAQ,48000.0,52000.0,50000.0,50117
2024,0,Bihar,Rohtas,Sasaram,Onion,Medium,FAQ,2375.0,3375.0,2875.0,3109
2024,0,Bihar,Samastipur,Tajpur,Onion,Medium,FAQ,2325.0,2475.0,2425.0,2606
2024,0,Bihar,Sheohar,Sheohar,Onion,Medium,FAQ,2860.0,3300.0,3040.0,3247
2024,0,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,2133.333333333333,2833.333333333333,2566.6666666666665,2723
2024,0,Chattisgarh,Bilaspur,Tiphra,Onion,Other,FAQ,1633.3333333333333,1833.3333333333333,1733.3333333333333,1846
2024,0,Chattisgarh,Durg,Durg,Onion,Nasik,FAQ,2750.0,3500.0,3500.0,3723
2024,0,Chattisgarh,Raigarh,Raigarh,Onion,Other,FAQ,2500.0,3000.0,2750.0,2982
2024,0,Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,1525.0,2125.0,1825.0,2004
2024,0,Goa,North Goa,Mapusa,Onion,Onion,FAQ,1433.3333333333333,1933.3333333333333,1700.0,1874
2024,0,Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Onion,Local,FAQ,975.0,2175.0,1850.0,2057
2024,0,Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Onion,Nasik,FAQ,1400.0,2600.0,2275.0,2406
2024,0,Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,2200.0,2700.0,2420.0,2656
2024,0,Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Onion,Other,FAQ,1500.0,2150.0,1825.0,1996
2024,0,Gujarat,Bhavnagar,Bhavnagar,Onion,Red,FAQ,840.0,2198.0,1518.0,1764
2024,0,Gujarat,Bhavnagar,Bhavnagar,Onion,White,FAQ,1137.5,1602.5,1370.0,1551
2024,0,Gujarat,Bhavnagar,Mahuva(Station Road),Onion,Red,FAQ,500.0,2260.0,1382.0,1493
2024,0,Gujarat,Bhavnagar,Mahuva(Station Road),Onion,White,FAQ,1092.0,1970.0,1532.0,1676
2024,0,Gujarat,Bhavnagar,Palitana,Onion,Red,FAQ,800.0,2000.0,1400.0,1609
2024,0,Gujarat,Bhavnagar,Taleja,Onion,Red,FAQ,1350.0,2222.5,1787.5,1895
2024,0,Gujarat,Dahod,Dahod(Veg. Market),Onion,Onion,FAQ,950.0,2500.0,1950.0,2092
2024,0,Gujarat,Jamnagar,Jamnagar,Onion,Other,FAQ,212.5,2218.75,1450.0,1670
2024,0,Gujarat,Junagarh,Visavadar,Onion,Onion,FAQ,633.75,1686.25,1160.0,1351
2024,0,Gujarat,Kachchh,Bhuj,Onion,Small,FAQ,1100.0,2575.0,1587.5,1782
2024,0,Gujarat,Kheda,Kapadvanj,Onion,Other,FAQ,1500.0,2200.0,1850.0,1987
2024,0,Gujarat,Kheda,Nadiyad(Piplag),Onion,Onion,FAQ,2400.0,2850.0,2675.0,2821
2024,0,Gujarat,Mehsana,Mehsana(Mehsana Veg),Onion,Onion,FAQ,840.0,2150.0,1400.0,1530
2024,0,Gujarat,Morbi,Morbi,Onion,Onion,FAQ,666.6666666666666,2016.6666666666667,1341.6666666666667,1506
2024,0,Gujarat,Porbandar,Porbandar,Onion,Other,FAQ,1016.6666666666666,1883.3333333333333,1350.0,1474
2024,0,Gujarat,Rajkot,Dhoraji,Onion,Local,FAQ,350.0,1655.0,1355.0,1462
2024,0,Gujarat,Rajkot,Dhoraji,Onion,Nasik,FAQ,395.0,1740.0,1405.0,1559
2024,0,Gujarat,Rajkot,Gondal,Onion,Red,FAQ,355.0,2121.6666666666665,1496.6666666666667,1616
2024,0,Gujarat,Rajkot,Gondal,Onion,White,FAQ,1005.0,1565.0,1335.0,1458
2024,0,Gujarat,Rajkot,Jetpur(Dist.Rajkot),Onion,Onion,FAQ,305.0,2155.0,1030.0,1152
2024,0,Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Onion,Onion,FAQ,859.1666666666666,1849.1666666666667,1322.5,1435
2024,0,Gujarat,Surat,Surat,Onion,Other,FAQ,600.0,2350.0,1475.0,1642
2024,0,Gujarat,Surendranagar,Vadhvan,Onion,Onion,FAQ,2000.0,2500.0,2250.0,2391
2024,0,Gujarat,Vadodara(Baroda),Padra,Onion,Other,FAQ,1683.3333333333333,2533.333333333333,2116.6666666666665,2259
2024,0,Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Onion,Other,FAQ,980.0,2400.0,1740.0,1974
2024,0,Haryana,Ambala,Ambala Cantt.,Onion,Other,FAQ,1150.0,1900.0,1450.0,1551
2024,0,Haryana,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1043.0,1534.0,1259.0,1436
2024,0,Haryana,Ambala,Barara,Onion,Other,FAQ,1780.0,2160.0,1780.0,2023
2024,0,Haryana,Ambala,Naraingarh,Onion,Onion,FAQ,1525.0,1875.0,1700.0,1836
2024,0,Haryana,Ambala,Shahzadpur,Onion,Local,FAQ,2000.0,2400.0,2000.0,2214
2024,0,Haryana,Bhiwani,Bhiwani,Onion,Other,FAQ,2100.0,2350.0,2250.0,2437
2024,0,Haryana,Bhiwani,Ch. Dadri,Onion,Other,FAQ,1300.0,2133.333333333333,1716.6666666666667,1952
2024,0,Haryana,Faridabad,Ballabhgarh,Onion,Other,FAQ,1500.0,1850.0,1700.0,1902
2024,0,Haryana,Faridabad,"New Grain Market , Faridabad",Onion,Onion,FAQ,1200.0,2500.0,1850.0,2063
2024,0,Haryana,Fatehabad,Dharsul,Onion,1st Sort,FAQ,1816.6666666666667,2033.3333333333333,2000.0,2209
2024,0,Haryana,Fatehabad,Fatehabad,Onion,Other,FAQ,2166.6666666666665,3000.0,2666.6666666666665,2911
2024,0,Haryana,Fatehabad,Jakhal,Onion,Other,FAQ,2075.0,2250.0,2250.0,2449
2024,0,Haryana,Fatehabad,Ratia,Onion,Other,FAQ,1650.0,1700.0,1675.0,1790
2024,0,Haryana,Fatehabad,Tohana(New Veg Market),Onion,Onion,FAQ,2050.0,2200.0,2150.0,2379
2024,0,Haryana,Gurgaon,Farukh Nagar,Onion,Other,FAQ,1800.0,2200.0,1800.0,1918
2024,0,Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,1000.0,1875.0,1437.5,1567
2024,0,Haryana,Gurgaon,Pataudi,Onion,Other,FAQ,1800.0,2066.6666666666665,1933.3333333333333,2097
2024,0,Haryana,Gurgaon,Sohna,Onion,Onion,FAQ,1733.3333333333333,2133.333333333333,1933.3333333333333,2054
2024,0,Haryana,Hissar,Barwala(Hisar),Onion,Other,FAQ,2000.0,2000.0,2000.0,2121
